Country Name,Country Code,Series Name,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Argentina,ARG,Deposit interest rate (%),FR.INR.DPST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.16684206720562,10.6791717588966,12.0234954622098,14.8544545942618,20.4176836843299,21.169148538645,24.2799621369518,18.9997425636825,31.9214014101395,47.2867933045233,29.3201379160418,33.5453268260542,52.4166674494502
Argentina,ARG,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,14.2059661257195,17.4209750944231,16.5548611815692,15.6482608053113,17.9466845483758,15.3590039236442,11.8332213213078,15.269192224964,17.1984341271811,20.7231358480453,21.7295078957851,29.6977651151243,31.3181100560577,26.5588638231802,24.0506119455824,16.9285824693685,16.5215522681063,20.9234516099999,20.0320597504097,39.4377419896227,15.5276981216118,12.4655879980545,15.2507520184031,18.0123062130973,19.9549452299565,19.6796231471515,19.8760428771292,21.5569355901645,23.5909907483988,24.136100774893,23.1674223158561,20.1560327767269,15.1156737475206,10.6211819600196,9.50128495325813,10.4169307391323,11.532388513893,12.6122114252425,11.8227697298621,11.9992817487158,12.4960013900972,13.842100943339,15.0377690033615,15.5654555378253,13.6569400728306,14.2385254616337,13.4965267916168,15.7212691624528,15.3763265573184,12.7789482484627,13.4624609730988,11.2573672768707,10.6614169246513
Argentina,ARG,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,1118123169.7,1078263471.6,1140313787.2,1389252864.9,1663056502.6,1620914086.5,1637161445.4,1871720429.8,3333144093.8,2281740750.2,4260979181.2,5411998889.5,4894453608.3,6824734770.9,6303568135.6,6231161855.8,7349851839.4,6265276902.6,5055488201.3,4386859950.1,6184791273.6,5449279126.8,4914055247,5872301888.9,5783538649.1,8889250255.5,12963794087,16119704830.6,19369186342.6,25310657084.8,24849687713.5,18084634014.4,5326706918.3,14336213571.3,12902482290,10099804137.2,18973957937,8810729117.3,9593489172.5,14792600832.4,15638962665.1,15788530471.2,13586606977.8,15772427855.2,17022961280.9,17902687669.6,25920010650.2,40445152523,43001851186.3,43865206118,29410909701.9,25916580578.3,..
Argentina,ARG,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56.73295,57.2443,57.31005,58.18388,58.96151,..,..,..
Argentina,ARG,"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.LO.FE.ZS,17.1000003814697,..,..,..,..,..,..,..,..,..,25.8999996185303,..,..,..,..,..,..,..,..,..,..,36.2694091796875,..,..,..,..,..,..,..,..,..,46.0987586975098,..,56.1946296691895,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,875.765515620261,926.835043595619,963.646417901929,993.722768400826,1011.61103462967,1031.4847816056,1079.63006358516,1089.98998420437,1212.18233641121,1237.93912128481,1192.00801790295,1203.30831474532,1254.24067021916,1296.65274066137,1285.8604676471,1328.23490943865,1412.39621298422,1451.30484589972,1319.63280464081,1303.2185490521,1346.50272219976,1408.74042269362,1494.39096441557,1572.83418311901,1643.33025907605,1721.13868568752,1839.82168178548,1958.03875424179,2023.46157948029,2077.53957335771,2108.99040202059,2003.66751741611,2169.48754386443,2282.82256318506,2397.48653338231,2362.85310598862,2443.84413515149,2759.51327028767,2716.59821526407,2877.65265331343,2929.07502855568,3000.60352326565,2967.37655805218,3074.70207056563,..,..,..,..,..,..,..,..
Argentina,ARG,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,..,10.1591601760921,9.8316604757765,9.75207231536701,9.8175313059034,11.0554476365743,10.6996293354514,11.2639990127418,11.7216007656876,11.2749395605855,12.6807031682869,12.6625299312547,12.85664142807,14.3036532334953,13.9638838233332,13.9489671931956,16.6846927739118,15.7554910740022,14.0240401179038,17.0834075745877,18.3129680725266,18.9340394979766,20.3951253556665,20.2660127322333,17.9205357558094,17.7020070133552,17.524323393508,16.2632437965089,15.1637572285575,14.828438987411,14.8329771679226,14.2562281529157,17.1704971996258,15.265674236662,15.4195577297459,15.1254609397958,15.1175738520993,16.7174044593399,13.3827834610704,14.7474962885194,13.4253530571677,14.434796032573,13.599799449962,16.0183494154359,14.6573815349423,..,..,..,..,..,..,..,..
Argentina,ARG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56.681,56.826,55.253,54.69,49.934,51.381,53.462,55.093,53.753,52.971,50.982,48.386,51.671,53.566,54.43,55.571,55.941,55.692,55.523,55.549,56.295,56.002,55.703,55.119,54.774,54.235,53.899,54.105,54.357,49.6,55.085,56.313
Argentina,ARG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,5.601566676004,6.00723288128889,7.19776583908352,7.61266772119213,6.9025707976099,5.82405179865594,9.17538829640174,9.61589241271337,8.60838993811478,6.5109154667574,5.06197268111518,6.92104948030999,9.09049307859513,9.15152068682072,7.5898953117888,11.7360980207352,8.16197754429543,7.87320581340031,9.53161297293404,13.0584089085641,10.3595365925264,7.67504334832217,6.5981874720374,6.90935153370832,7.52994872591672,9.68041025959015,10.4285967560139,10.5608501019262,10.4155819610919,9.82717451494235,10.9863752325576,11.5790080825317,28.3825969991682,25.9309429264224,23.8476194239892,23.2458767338576,23.0266946038115,22.6627503115066,22.0609003826242,19.5609850560818,18.9338234053709,18.4492091453155,16.2378594620246,14.6171733884386,14.4054785893756,10.7056520504538,12.5270951690009,11.3202833596733,14.4366857499034,17.9248783778462,16.6108723998011,18.0342289894963,16.7780368212333
Argentina,ARG,Exports of goods and services (constant 2015 US$),NE.EXP.GNFS.KD,9013135452.44428,8118045999.66209,8282808731.53228,9440628603.95403,9462883794.69975,8583388373.73457,11288671241.9483,14372484706.686,15652680713.1575,15151716645.7701,14372484706.686,15120415374.0935,15717150490.8118,16123062538.4867,15705233732.1126,18148029532.2584,16284164980.3063,15717150490.8118,18659332788.746,20045781619.3356,23656348273.5258,22799008061.799,22564247943.5963,23463026769.6373,27051830214.4022,33146105665.3658,35680720379.3792,40025718989.1159,44277808443.6758,43719784992.0728,44901264661.8391,46132004177.4208,47558846392.9744,50410174346.9503,54500535536.2542,61523927130.2795,64945397756.2739,70247833528.5135,70767579313.6332,64152858356.3363,73068125669.1088,76099586869.35,72973178922.7426,70404347638.8073,65490710336.0292,63671789068.8987,67057443560.298,68811257871.9443,69255776018.3655,76008924331.3521,62546382587.7048,68311642980.8742,72208985514.0922
Argentina,ARG,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,0.865689271084736,-0.600723152966151,0.359888480895527,1.90316693082669,0.613561737587651,-0.154620697463696,3.25389196855162,2.28949825749172,2.89298350379267,0.181146292378018,-1.421727098454,-0.450878518263459,2.56950005720169,3.31537126678235,2.83340919435594,5.46277097078228,1.83792229645136,0.297441743848656,3.31976733716303,6.47902011524435,5.72821418510863,1.59703253775518,-1.53460564227824,-2.40444838036731,-3.0744484151647,-0.410602571195211,-0.649274893693637,-2.21447863989155,-2.51886405088506,-1.72839593260512,-0.649694312619028,1.30576071351812,15.0124696397722,11.2171378217363,7.00259273903135,5.94048249709131,5.61990933570791,4.38033000444218,3.71912738621024,5.06484320667575,2.8966335471722,1.69226329066661,1.94917655233833,-0.0995822252265794,0.404163533523684,-1.07492198807163,-1.03969751087799,-2.64903441833118,-1.88916445518585,3.21914170984251,3.0019449138143,3.08897608932271,1.47974586826735
Argentina,ARG,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..,..,..,..,..,..,..,-145000000,-273000000,-265000000,-788000000,-944000000,-257000000,-183000000,-268000000,-919000000,-574000000,19000000,-1147000000,-1028000000,-1836000000,-2439000000,-3265063223.08014,-2088015410.09827,-2622087878.26435,-4112274403.56467,-5347787686.64725,-5507454052.4446,-4965180132.08156,-22257413389.6428,-9517286139.80497,-2005260142.26883,-2776050000,-878230000,-3448720000,-3954190000,-3098627065.63234,-4968924800.78457,-8334618540.64712,-3305612521.13841,-10367957946.0427,-9351930944.6815,-14269084338.7678,-8931688999.43165,-3144794108.85981,-10883760783.9318,-1473633407.02589,-10361231244.2599,-9990788246.04858,-5126459686.19073,-3706950767.3516,-5366070239.34722,-13331895895.7292
Argentina,ARG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,4.48218059324916E-10,5.88380614997062E-10,9.66384481466911E-10,1.59970732849673E-09,2.0897047438501E-09,6.22099594917571E-09,3.34890383211041E-08,8.6879666954123E-08,2.27079272547969E-07,5.6174199204415E-07,1.09983703145184E-06,2.25770549426669E-06,6.64973964305643E-06,3.19292920206385E-05,0.000227079944709636,0.00160647138692226,0.00284814905360172,0.006480676022766,0.0311880164525857,0.981203426102591,21.3737192502697,51.4043032052253,59.6659994934379,57.5412362252407,59.180781521562,61.0539262799835,61.0219489829064,60.7388601486823,59.7030927427165,58.6066105825432,59.214529394292,58.5656756966243,76.4605374112749,84.4856083466432,99.9999998969317,110.317511084538,125.47629818382,144.222363056105,177.640364739783,204.957277170641,247.824346395484,306.567321408416,374.977453364052,464.780047776689,652.007262571679,825.310738210731,1164.67339673925,1467.56277769074,2084.4332574088,3109.88226850322,4356.22614751175,6715.22767603458,11394.5904376371
Argentina,ARG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,9257.89557164576,9628.03783789492,9630.01036600914,9739.41627064185,10105.0495075297,9935.93863469002,9581.84140311136,10083.8151828918,9476.06343622627,10278.9246238181,10270.9561180014,9585.20677182144,9366.17037951494,9622.34731895272,9624.40455636866,8987.93370569176,9397.88360849477,9507.33981264281,9262.96392660836,8473.02656895128,8144.49429397801,8762.66138351332,9327.8594509636,9957.25652230492,10397.3792874496,9969.33157579723,10388.5387104408,11097.3820634618,11391.9451576314,10880.2062074837,10672.7220353121,10090.6534434286,8895.31964210751,9581.96979219468,10341.6434058805,11141.3106718375,11913.9585322637,12857.0925770961,13246.6348917152,12336.8619385237,13551.3391940229,14200.2698890608,13895.6337072986,14071.5086831557,13567.9484159809,13789.060424772,13360.2118345982,13595.0373551081,13105.397163317,12716.2242038544,11341.2683655863,12402.4907912317,12932.4695302972
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,1324.68528828362,1374.42423270049,1411.17666431069,2100.03058748674,2846.26630742503,2026.57070900355,1946.32939085275,2125.53221974145,3280.37486786153,2510.58557617376,2746.20748417286,2763.37518192638,2914.91825147004,3539.45678157511,3919.08956980375,2910.50832869461,3443.19143142482,3485.69023204695,4004.00958893967,2382.33806588418,4330.96745108666,5730.72380988423,6815.33162293557,6957.41749889251,7464.4747368819,7383.70450960064,7690.15700254783,8176.77119517435,8250.67317414321,7735.32208018486,7666.51783423783,7168.97587232911,2579.48876933284,3333.15290388997,4258.16026060875,5086.62776073134,5890.97800169795,7210.59554755899,8977.50685093365,8184.38988923991,10385.9644319555,12848.7404762598,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772,12790.2640639201,14613.035714704,11795.1628852236,9963.67423069626,8496.428156755,10636.1155301986,13686.0086737317
Argentina,ARG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.44319966346231,3.99812531243921,0.0204873323872619,1.13609332154905,3.75415966139556,-1.67352839502321,-3.56380252130759,5.23880284239959,-6.02700203883769,8.47251807667928,-0.0775227575679907,-6.67658724564203,-2.28515041480823,2.73513003775881,0.0213797875689323,-6.61309327708733,4.56111400269241,1.16468993134897,-2.57039183252373,-8.52791141060089,-3.87738988305726,7.58999966385119,6.45007313090611,6.74749737225402,4.42012078486435,-4.11688080061714,4.20496731858427,6.82332109239341,2.65434759734458,-4.49211212893599,-1.90698749835167,-5.45379697848054,-11.8459503938227,7.71922963663721,7.92815705080419,7.73249699851691,6.93498173764449,7.91621057164458,3.02978540664043,-6.86795522506981,9.84429639847724,4.78868313859435,-2.14528444981812,1.26568517537076,-3.57858050983289,1.62966427946263,-3.11006389821465,1.75764818265694,-3.60160975657155,-2.96956249866219,-10.8126108522948,9.35717585932072,4.27316373772393
Argentina,ARG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14136.5254005803,15209.4876309646,16190.510705998,17282.9649904397,18046.8929182229,17303.9238485647,18031.5481912295,19261.8986222468,19773.1763655293,18884.9431117375,18524.8096075258,17514.5041008813,15439.7446333669,16631.5739769268,17950.1512818383,19338.1461909357,20679.243097676,22316.2555259104,22992.390179143,21413.2831164661,23521.2701750961,24647.6292739541,24118.8675158912,24424.1364465071,23550.0990599374,23933.8866120953,23189.5274451329,23597.117752839,22747.2416575831,22071.7480998394,19685.215869505,21527.1961367015,22447.0884757637
Argentina,ARG,GDP per person employed (constant 2017 PPP $),SL.GDP.PCAP.EM.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38442.3401850243,40686.2665633347,44520.9087089766,46813.6478012359,49002.1395007385,49463.1191627602,50617.892119279,50265.8155944813,49058.89220394,48693.5533973552,47690.1191272904,44154.95394603,44392.9286811418,46061.0903605963,48662.6131243053,50782.6870841149,54241.1778296412,55924.341346986,52043.8643056322,56943.432764564,58705.4135975736,57598.9014366423,58507.6343872866,56885.1795777604,58051.3488061161,56689.7500421703,57915.6255284952,55460.3855167411,53385.378273041,51985.9368502855,50989.4267377039,51803.7891812289
Argentina,ARG,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,9.74254326207249,10.1462160701663,9.3516969606052,11.5393235681285,13.1532327349931,12.5891776401825,9.42009472768441,9.01540997692467,11.1661116654098,11.0078459559273,..,..,..,..,..,..,..,4.7144944990421,4.32191028434568,4.49439596541391,3.13542839161188,3.32176128752774,2.97553802761558,13.5103784728742,13.1869043660659,13.3494556774505,12.5016776609201,12.0620142457633,12.4947749986829,13.7232114149469,13.7841913064131,14.1562743129569,12.235247296692,11.4380567929249,11.114636067696,12.1418612359575,12.4294153726307,12.9893238963619,13.6335132595631,15.903896746884,15.1637178886417,15.6889565165983,16.6454378106252,16.8062377968797,16.9498757371062,18.098379759087,17.6545781863509,17.6968939223042,15.8050971558947,16.4432415862976,16.8914340325918,15.8433870461202,15.5820247405847
Argentina,ARG,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,40.8,..,..,..,..,..,42.8,45.3,..,..,..,46.8,45.5,44.9,45.9,48.9,49.5,49.1,50.7,49.8,51.1,53.3,53.8,50.9,48.4,47.7,46.3,46.2,44.9,43.7,43.6,42.6,41.3,40.9,41.6,..,42,41.1,41.3,42.9,42.3,42,..
Argentina,ARG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,..,..,..,..,3918000000,5651000000,6401000000,7810000000,8021000000,9143000000,7623000000,7835000000,8100000000,8396000000,6852000000,6360000000,9134000000,9573000000,12354000000,11978000000,12397400000,13262600000,16026700000,21141832000,24034600000,26420900000,26408700000,23287800000,26337200000,26528000000,25634300000,29950400000,34588800000,40434150000,46617500000,56076562000,70159472000,55790984000,68305873000,83119709000,80083655000,75928228361.0699,68440435907,56809053493,57959933690.53,58661873551.7799,61801002638.2899,65162061724.8101,54945509698.7797,77986711230.4501,88515083086.4199
Argentina,ARG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,2765000000,3799000000,3488000000,6028000000,9394000000,8431000000,4859000000,4119000000,4118000000,3518000000,4406000000,5343000000,4892000000,3864000000,3726000000,7559000000,13794800000,15632500000,20162200000,18804317000,22283200000,28553500000,29530900000,24103200000,23889100000,19157800000,8473100000,13134200000,21311100000,27300100000,32587900000,42524500000,54596200000,37146134000,54158763701.51,70768777913.21,65042742213.46,71292993120.16,62898966094.1,57594229885.62,53543776748.93,64108936659.32,62544230316.48,46928338266.5098,40314811521.6899,59291110550.4198,76162545002.65
Argentina,ARG,Government Effectiveness: Estimate,GE.EST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.165690049529076,..,0.328712493181229,..,-0.0280386935919523,..,-0.228479072451591,-0.0342199839651585,0.015197392553091,-0.0979790613055229,-0.0339163094758987,-0.0125325033441186,-0.123509347438812,-0.294032037258148,-0.1117919459939,-0.0723610669374466,-0.206967011094093,-0.253538548946381,-0.110760383307934,-0.0493510514497757,0.219068825244904,0.135000482201576,0.0280940532684326,-0.120677568018436,-0.253818213939667,-0.389672070741653,-0.282877296209335
Argentina,ARG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.4580899477005,..,1.93620002269745,1.78051996231079,1.92351996898651,1.84360003471375,1.16563999652863,1.71984004974365,1.93554997444153,2.4002799987793,2.60715007781982,..,1.59786999225616,1.61749994754791,2.56972002983093,1.36186003684998,1.261549949646,1.28229999542236,..,1.04612004756927,1.06737995147705,..,..,..,..,..,3.73198008537292,..,4.03986978530884,4.52167987823486,4.58030986785889,4.833740234375,4.01734018325806,3.53504991531372,3.48652005195618,3.86000990867615,4.12821006774902,4.46260023117065,4.84440994262695,5.53105020523071,5.01971006393433,5.29062986373901,5.34582996368408,5.43661022186279,5.36144018173218,5.77611017227173,5.54548978805542,5.45431995391846,4.87773990631104,4.77759981155396,5.27964019775391,4.6476001739502,..
Argentina,ARG,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.3987703323364,..,15.6212596893311,15.8775396347046,16.2261505126953,16.3559608459473,16.4422092437744,14.3547201156616,15.1393003463745,15.8031702041626,15.5098400115967,15.1015701293945,15.7478399276733,16.0206699371338,15.0479698181152,15.1585597991943,14.5182600021362,14.4579296112061,13.7993297576904,13.9633102416992,13.3555402755737,13.2639198303223,12.5233402252197,12.5300703048706,12.4222898483276,12.2848997116089,..
Argentina,ARG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,24.4400952475051,24.1130324177909,23.8915446190398,20.8938115320811,22.2603317856376,29.4410469590453,30.7294395896829,30.9416888038212,27.8001595713111,25.8567694620944,25.257786289888,22.6910887215618,21.7549479464592,20.8877523061467,19.9640924492995,17.5890669180019,17.4617642050861,19.5548660012086,18.6400388971926,15.5146982752804,13.9969815756662,14.6369773950796,16.7024057741857,19.6881104233422,19.9656232520199,18.5004105114971,19.6238724452255,20.8260515469902,20.9707691548621,17.8629278753399,17.5334874363903,15.6259653308051,10.8539052402585,14.1469621012504,17.5512703642799,18.8882641376513,18.6804872364334,20.099113202908,19.5727758777106,16.0531123592112,17.7055338062046,18.39845891735,16.5019865298875,17.3057789012596,17.2628810064651,17.0707048841583,17.6632278606203,18.2125671747754,16.6138850156371,14.2100303992191,14.1305954579395,17.4742275142009,17.3050746478693
Argentina,ARG,Gross capital formation (constant 2015 US$),NE.GDI.TOTL.KD,44163994201.2754,48991927532.3955,49490266251.1826,47164202352.7723,47686429445.1561,48540998138.9485,51911387021.9374,62759021166.3979,52765955715.7298,58154183585.4888,62868748841.4001,53453563949.8048,42793381597.0775,42964345046.4624,41188032061.1422,35378578810.2516,39284648677.2558,44366479385.8286,42804898715.3761,33558372773.4109,27903757037.259,36258610274.8512,48094677583.604,55002965429.062,61952880204.7193,54124858891.2047,61216972753.7914,71374562333.2949,74871471352.9671,62201968787.8538,59833373722.1354,52693129269.7639,32883416849.5726,46099764656.8876,59751476384.421,68592502942.9073,73302412020.6709,88204836540.4656,94099958646.0021,72389645451.0118,95946771647.2003,111387236082.203,98928498895.7575,103547495760.094,97103185691.3638,101527895313.53,96366224812.4992,111257073625.268,100301480488.223,80271355237.5789,74188663729.8627,98775146357.2082,107446755538.808
